Asunto,Reseña,Fecha,Calificación
Sin Título,,2025-11-20,5
Fahrkartenänderung,"uten Tag!
Ich muss ein grosses Lob auf das öbb kundenservice aussprechen. Nachdem ich einen familiäre notfall habe musdte ich mein gebuchtes Ticket auf einen früheren zeitpunkt ändern. Hr Dragolovic v heutigen telef Kundenservice hat das perfekt, sehr freundlich u hilfsbereit, toll erledigt. Bitte auch einfach weitergeben.",2025-11-16,5
Große Zufriedenheit mit dem Service der ÖBB,"Sehr geehrte Damen und Herren, liebe Mitarbeiterinnen und Mitarbeiter der ÖBB!

Im Großen und Ganzen bin ich mit dem Service der ÖBB sehr zufrieden. Die Züge kommen meistens sehr pünktlich, die Mitarbeiterinnen und Mitarbeiter sind größtenteils sehr freundlich. Das österreichweite Klimaticket ist per se eine sehr gute und sehr soziale Sache sowie eine sehr gute Umsetzung, weshalb ich mich bei euch ganz herzlich bedanken möchte.

Mit freundlichen Grüßen

Sebastian Stanta",2025-11-02,5
Good,It's just an average train company which offers good night train services. I've had good experience with a night train to Rome,2025-10-05,5
Einzigartiger Telefonservice …,Ich hab im Stress eines Flugausfalls eine Nightjet-Onlinebuchung falsch erstellt (falsches Datum). Ist dann erst nach dem Bezahlen aufgefallen. Die Mitarbeiterin es das telefonisch umgebucht und verrechnet. Ich hatte mit Mobilfunk Probleme und wurde sogar zurückgerufen. Ganz lieben Dank an die tollen Mitarbeiterinnen.,2025-09-08,5
Aufgrund von Bauarbeiten musste meine…,"Aufgrund von Bauarbeiten musste meine eingebuchte Zugverbindung abgeändert werden. Hierfür führte ich ein sehr freundliches, entspanntes und professionelles Telefonat mit Frau Marina Zettl. Sie war so hilfsbereit und hat auch noch zusätzlich für mich und meine Freundin die Sitzplatzreservierungen umgebucht. Vielen lieben Dank. ♥️",2025-09-05,5
I bought a trip from Hamburg to…,"I bought a trip from Hamburg to Bucharest and back again.
Fantastic trip, and fantastic service 😁

Romanian train conductors may not speak english, but I felt in safe hands the entire way. Will absolutely use them again in the future, for European trips",2025-09-03,5
Top Breatung am Kundenschalter,"Wir waren in Linz am ÖBB Schalter, um uns Tickets nach Mailand zu kaufen. Frau Farah Y. hat uns beraten! Selten wurde ich so freundlich, kompetent und umfangreich informiert! Die ÖBB kann stolz sein, solche Mitarbeiter in Ihrem Team zu haben!",2025-08-19,5
Die neuen Nightjets sind sehr schön,Die neuen Nightjets sind sehr schön. Beste Bahn der Welt !,2025-08-17,5
Sherzai ist der beste Mitarbeiter,"Sherzai ist der beste Mitarbeiter, er hat die Regeln für uns so gut eingehalten!
Für seine Arbeiten verdient er mehr Geld, wirklich!",2025-08-10,5
